台灣頻道,#genre#
金光布袋戲,https://www.judy.xx.kg/judy.php?id=4gtv-live144/index.m3u8
非凡商業,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv048/index.m3u8
非凡新聞,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv010/index.m3u8
客家電視,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv043/index.m3u8
客家電視,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv043/index.m3u8
原住民族電視台,https://www.judy.xx.kg/judy.php?id=4gtv-live014/index.m3u8
時尚運動X,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv014/index.m3u8
時尚運動X,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv014/index.m3u8
國會頻道1,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv084/index.m3u8
國會頻道1,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv084/index.m3u8
國會頻道1,https://www.judy.xx.kg/judy.php?id=of-4gtv-4gtv084/index.m3u8
國會頻道2,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv085/index.m3u8
國會頻道2,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv085/index.m3u8
國會頻道2,https://www.judy.xx.kg/judy.php?id=of-4gtv-4gtv085/index.m3u8
第1商業台,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv104/index.m3u8
第1商業台,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv104/index.m3u8
博斯高球I,https://www.judy.xx.kg/judy.php?id=litv-longturn05/index.m3u8
博斯高球II,https://www.judy.xx.kg/judy.php?id=litv-longturn06/index.m3u8
博斯無限I,https://www.judy.xx.kg/judy.php?id=litv-longturn10/index.m3u8
博斯無限II,https://www.judy.xx.kg/judy.php?id=litv-longturn13/index.m3u8
博斯運動I,https://www.judy.xx.kg/judy.php?id=litv-longturn07/index.m3u8
博斯運動II,https://www.judy.xx.kg/judy.php?id=litv-longturn08/index.m3u8
博斯網球,https://www.judy.xx.kg/judy.php?id=litv-longturn09/index.m3u8
博斯魅力,https://www.judy.xx.kg/judy.php?id=litv-longturn04/index.m3u8
智林體育,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv101/index.m3u8
智林體育,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv101/index.m3u8
華視,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv041/index.m3u8
華視,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv041/index.m3u8
華視,https://www.judy.xx.kg/judy.php?id=of-4gtv-4gtv041/index.m3u8
華視新聞台,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv052/index.m3u8
華視新聞台,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv052/index.m3u8
華視新聞台,https://www.judy.xx.kg/judy.php?id=of-4gtv-4gtv052/index.m3u8
視納華仁紀實頻道,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv013/index.m3u8
視納華仁紀實頻道,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv013/index.m3u8
新唐人亞太台,https://www.judy.xx.kg/judy.php?id=4gtv-live050/index.m3u8
經典卡通台,https://www.judy.xx.kg/judy.php?id=4gtv-live022/index.m3u8
經典電影台,https://www.judy.xx.kg/judy.php?id=4gtv-live021/index.m3u8
達文西,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv018/index.m3u8
達文西,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv018/index.m3u8
